"Submission.id","Status","Started.at","Completed.at","Reviewed.at","Archived.at","Time.taken","Completion.code","Total.approvals","Fluent.languages","Vision","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","openLabId","participant_id"
"63e7e5490ae958a8e3aedc52","APPROVED","2023-02-11T18:58:22.179000Z","2023-02-11T19:07:46.345000Z","2023-02-11T19:16:54.817000","2023-02-11T19:07:46.918223Z",565,"C7B2XPOI",123,"English","Yes",22,"Female","White","United States","United States","United States","English","Yes","Other","DHsCgCSTI6",1
"63e7e8f9cdf88bc6b0b1b8d4","APPROVED","2023-02-11T19:14:04.982000Z","2023-02-11T19:21:12.977000Z","2023-02-11T20:08:12.035000","2023-02-11T19:21:14.911279Z",428,"C7B2XPOI",251,"English","Yes",24,"Female","Black","Germany","United States","United States","English","Yes","DATA_EXPIRED","1wiRCf5_FJ",2
"63e7ea266d713d781ff1a8bb","APPROVED","2023-02-11T19:19:06.995000Z","2023-02-11T19:31:59.479000Z","2023-02-11T20:17:12.129000","2023-02-11T19:32:00.602660Z",773,"C7B2XPOI",274,"English","Yes",20,"Female","White","United States","United States","United States","English","Yes","Part-Time","Jk_o31Tyo3",3
"63e7ebe7cee632e0c4aedc3a","APPROVED","2023-02-11T19:27:50.912000Z","2023-02-11T19:39:42.286000Z","2023-02-11T20:16:15.496000","2023-02-11T19:39:42.766299Z",712,"C7B2XPOI",65,"English","Yes",23,"Male","White","United States","United States","United States","English","Yes","Unemployed (and job seeking)","TGAJafusFj",4
"63e7ec6b5e4d119ff170e048","APPROVED","2023-02-11T19:29:03.444000Z","2023-02-11T19:39:48.131000Z","2023-02-11T20:15:29.405000","2023-02-11T19:39:48.474706Z",645,"C7B2XPOI",77,"English","Yes",33,"Male","Mixed","United States","United States","United States","English","No","DATA_EXPIRED","pD-OXsTaEk",5
"63e7ec8b59ad37e8295600e6","APPROVED","2023-02-11T19:29:18.069000Z","2023-02-11T19:36:14.079000Z","2023-02-11T20:06:40.138000","2023-02-11T19:36:14.483078Z",417,"NOCODE",87,"English","Yes",25,"Female","White","United States","United States","United States","English","Yes","Full-Time","gl6mudZFBQ",6
"63e7ec9d52eac9a907eadfb9","APPROVED","2023-02-11T19:29:38.076000Z","2023-02-11T19:36:50.516000Z","2023-02-11T20:09:47.961000","2023-02-11T19:36:50.911763Z",433,"C7B2XPOI",276,"English","Yes",28,"Female","Asian","United States","United States","United States","English","No","Full-Time","Qyh9RgIyUp",7
"63e7ed5766b99ce3dbb1b8c0","APPROVED","2023-02-11T19:32:43.032000Z","2023-02-11T19:41:23.220000Z","2023-02-11T20:12:09.302000","2023-02-11T19:41:23.767348Z",521,"C7B2XPOI",123,"English","Yes",20,"Female","White","United States","United States","United States","English","No","Part-Time","auRAtCuGOn",8
"63e7ee348e85eca700c45a02","APPROVED","2023-02-11T19:36:26.680000Z","2023-02-11T19:44:11.679000Z","2023-02-11T20:11:15.273000","2023-02-11T19:44:12.189559Z",465,"C7B2XPOI",16,"English","Yes",22,"Male","White","United States","United States","United States","English","Yes","DATA_EXPIRED","AA_F7i5OD-",9
"63e7ee9cc48c92d980818f1b","APPROVED","2023-02-11T19:38:16.854000Z","2023-02-11T19:51:14.276000Z","2023-02-11T20:18:00.662000","2023-02-11T19:51:14.746222Z",778,"C7B2XPOI",37,"English","Yes",25,"Male","Mixed","United States","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED","wKhrwVk9Q3",10
"63e7f03666b99ce3dbb1b8f0","APPROVED","2023-02-11T19:44:57.951000Z","2023-02-11T19:54:05.193000Z","2023-02-11T20:13:38.659000","2023-02-11T19:54:06.265411Z",548,"C7B2XPOI",17,"Afrikaans, English","Yes",27,"Male","White","South Africa","United States","South Africa","English","Yes","Full-Time","LZai_Skf9m",11
"63e7f08fe4391199ba3af7e9","APPROVED","2023-02-11T19:46:27.653000Z","2023-02-11T19:56:49.385000Z","2023-02-11T20:14:39.612000","2023-02-11T19:56:50.018808Z",622,"C7B2XPOI",27,"French, English","Yes",31,"Male","White","United States","United States","United States","English","No","Full-Time","h7f3AQE7SW",12
"63e7fb2ff4ccaf3a962ef6f5","APPROVED","2023-02-11T20:31:55.966000Z","2023-02-11T20:39:33.336000Z","2023-02-11T20:49:01.521000","2023-02-11T20:39:33.729989Z",458,"C7B2XPOI",114,"English","Yes",20,"Female","White","United States","United States","United States","English","Yes","Part-Time","C-kElEUpfw",13
"63e7fc32ff1ece20c4ec58d2","APPROVED","2023-02-11T20:36:06.936000Z","2023-02-11T21:16:22.369000Z","2023-02-11T21:29:49.870000","2023-02-11T21:16:24.480033Z",2416,"C7B2XPOI",30,"English, Spanish","Yes",32,"Male","Other","United States","United States","United States","English","No","Unemployed (and job seeking)","MCO0XbkmoT",14
"63e7fc966b518b7e5b5586e5","APPROVED","2023-02-11T20:37:49.515000Z","2023-02-11T20:46:37.892000Z","2023-02-11T20:49:39.294000","2023-02-11T20:46:38.293818Z",529,"C7B2XPOI",157,"English","Yes",30,"Male","White","United States","United States","United States","English","No","DATA_EXPIRED","7cNyVxz1Sd",15
"63e80a8d8130bcf806075e37","APPROVED","2023-02-11T21:37:22.160000Z","2023-02-11T21:53:04.336000Z","2023-02-11T22:04:41.092000","2023-02-11T21:53:07.464037Z",943,"NOCODE",206,"English","Yes",30,"Male","Asian","United States","United States","United States","English","No","Full-Time","tg3yDaf2xq",16
"63e80c21a134a6accf2a5a1f","APPROVED","2023-02-11T21:44:05.082000Z","2023-02-11T21:52:53.523000Z","2023-02-11T22:05:24.593000","2023-02-11T21:52:53.978860Z",529,"C7B2XPOI",185,"English","Yes",26,"Female","White","United States","United States","United States","English","No","Other","lGLd9p-QbM",17
"63e80c52339948bafe5a9dee","APPROVED","2023-02-11T21:44:52.518000Z","2023-02-11T21:51:06.573000Z","2023-02-11T22:05:59.774000","2023-02-11T21:51:07.007776Z",375,"C7B2XPOI",215,"English","Yes",22,"Female","White","United States","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED","X_ZAWF_OE0",18
"63e816ee695a225b64d50383","APPROVED","2023-02-11T22:30:22.790000Z","2023-02-11T22:39:55.231000Z","2023-02-11T23:12:35.577000","2023-02-11T22:39:55.623831Z",573,"C7B2XPOI",87,"English","Yes",34,"Female","White","United States","United States","United States","English","Yes","DATA_EXPIRED","OsV2Vs14yP",19
"63e818c3b3f35d2146f35f63","APPROVED","2023-02-11T22:38:07.142000Z","2023-02-11T22:50:44.892000Z","2023-02-11T23:13:20.522000","2023-02-11T22:50:45.283168Z",758,"C7B2XPOI",40,"English","Yes",31,"Male","White","United States","United States","United States","English","Yes","DATA_EXPIRED","SXaRKdgH5H",20
"63e81be53aba5fc000c78ba0","APPROVED","2023-02-11T22:51:22.858000Z","2023-02-11T23:07:27.728000Z","2023-02-11T23:14:17.245000","2023-02-11T23:07:28.925257Z",965,"C7B2XPOI",121,"English","Yes",20,"Male","Black","United States","United States","United States","English","DATA_EXPIRED","Full-Time","3l4aEeThJz",21
"63e825699b7fffd55bb1b8d1","APPROVED","2023-02-11T23:32:01.951000Z","2023-02-11T23:42:14.590000Z","2023-02-11T23:45:16.544000","2023-02-11T23:42:14.939087Z",613,"C7B2XPOI",72,"English","Yes",19,"Female","White","United States","United States","United States","English","Yes","Unemployed (and job seeking)","u-JvoM6fZ6",22
"63e8268f2cd46b09de13d7e9","APPROVED","2023-02-11T23:36:52.978000Z","2023-02-11T23:49:37.664000Z","2023-02-11T23:53:05.644000","2023-02-11T23:49:38.570347Z",765,"C7B2XPOI",22,"English, Other","Yes",28,"Male","Black","Nigeria","United States","Nigeria","English","No","Full-Time","m4PM_IRudb",23
"63e82d93288f8a4cbbb1b8ee","APPROVED","2023-02-12T00:06:49.678000Z","2023-02-12T00:15:44.231000Z","2023-02-13T17:59:01.970000","2023-02-12T00:15:44.944008Z",535,"C7B2XPOI",124,"English","Yes",28,"Female","White","United States","United States","United States","English","No","Full-Time","c0oZP-cQfk",24
